"Timestamp","Temperature_Celsius(°C)","Relative_Humidity(%)","Absolute_Humidity(g/m³)","DPT_Celsius(°C)","VPD(kPa)"
"Apr 13, 2024 17:21:49","17.5","47","7.0","6.1","1.06"
"Apr 13, 2024 17:22:49","16.9","50","7.2","6.4","0.96"
"Apr 13, 2024 17:23:49","16.5","53","7.4","6.9","0.88"
"Apr 13, 2024 17:24:49","16.1","53","7.3","6.5","0.86"
"Apr 13, 2024 17:25:49","16.1","53","7.3","6.5","0.86"
"Apr 13, 2024 17:26:49","15.9","55","7.5","6.9","0.81"
"Apr 13, 2024 17:27:49","15.9","55","7.5","6.9","0.81"
"Apr 13, 2024 17:28:49","15.8","55","7.4","6.8","0.81"
"Apr 13, 2024 17:29:49","15.7","57","7.6","7.2","0.77"
"Apr 13, 2024 17:30:49","15.6","57","7.6","7.1","0.76"
"Apr 13, 2024 17:31:49","15.4","57","7.5","6.9","0.75"
"Apr 13, 2024 17:32:49","15.2","57","7.4","6.7","0.74"
"Apr 13, 2024 17:33:49","15.0","59","7.6","7.0","0.70"
"Apr 13, 2024 17:34:49","14.9","59","7.5","7.0","0.69"
"Apr 13, 2024 17:35:49","14.8","59","7.5","6.9","0.69"
"Apr 13, 2024 17:36:49","14.6","59","7.4","6.7","0.68"
"Apr 13, 2024 17:37:49","14.6","60","7.5","6.9","0.66"
"Apr 13, 2024 17:38:49","14.4","60","7.4","6.7","0.66"
"Apr 13, 2024 17:39:49","14.4","60","7.4","6.7","0.66"
"Apr 13, 2024 17:40:49","14.4","60","7.4","6.7","0.66"
"Apr 13, 2024 17:41:49","14.2","61","7.5","6.8","0.63"
"Apr 13, 2024 17:42:49","14.2","61","7.5","6.8","0.63"
"Apr 13, 2024 17:43:49","14.1","61","7.4","6.7","0.63"
"Apr 13, 2024 17:44:49","14.1","62","7.5","6.9","0.61"
"Apr 13, 2024 17:45:49","14.1","62","7.5","6.9","0.61"
"Apr 13, 2024 17:46:49","14.1","62","7.5","6.9","0.61"
"Apr 13, 2024 17:47:49","14.1","62","7.5","6.9","0.61"
"Apr 13, 2024 17:48:49","14.0","62","7.5","6.8","0.61"
"Apr 13, 2024 17:49:49","14.0","62","7.5","6.8","0.61"
"Apr 13, 2024 17:50:49","14.0","62","7.5","6.8","0.61"
"Apr 13, 2024 17:51:49","14.0","62","7.5","6.8","0.61"
"Apr 13, 2024 17:52:49","14.1","62","7.5","6.9","0.61"
"Apr 13, 2024 17:53:49","14.3","62","7.6","7.1","0.62"
"Apr 13, 2024 17:54:49","14.4","62","7.7","7.2","0.62"
"Apr 13, 2024 17:55:49","14.4","62","7.7","7.2","0.62"
"Apr 13, 2024 17:56:49","14.3","61","7.5","6.9","0.64"
"Apr 13, 2024 17:57:49","14.3","61","7.5","6.9","0.64"
"Apr 13, 2024 17:58:49","14.2","61","7.5","6.8","0.63"
"Apr 13, 2024 17:59:49","14.3","62","7.6","7.1","0.62"
"Apr 13, 2024 18:00:49","14.3","62","7.6","7.1","0.62"
"Apr 13, 2024 18:01:49","14.3","62","7.6","7.1","0.62"
"Apr 13, 2024 18:02:49","14.2","62","7.6","7.0","0.62"
"Apr 13, 2024 18:03:49","14.2","62","7.6","7.0","0.62"
"Apr 13, 2024 18:04:49","14.2","62","7.6","7.0","0.62"
"Apr 13, 2024 18:05:49","14.2","62","7.6","7.0","0.62"
"Apr 13, 2024 18:06:49","14.2","62","7.6","7.0","0.62"
"Apr 13, 2024 18:07:49","14.4","62","7.7","7.2","0.62"
"Apr 13, 2024 18:08:49","14.4","62","7.7","7.2","0.62"
"Apr 13, 2024 18:09:49","14.4","62","7.7","7.2","0.62"
"Apr 13, 2024 18:10:49","14.3","62","7.6","7.1","0.62"
