"Timestamp","Temperature_Celsius(°C)","Relative_Humidity(%)","Absolute_Humidity(g/m³)","DPT_Celsius(°C)","VPD(kPa)"
"Apr 13, 2024 17:22:00","19.3","45","7.5","7.1","1.23"
"Apr 13, 2024 17:23:00","19.1","47","7.7","7.5","1.17"
"Apr 13, 2024 17:24:00","18.9","47","7.6","7.3","1.16"
"Apr 13, 2024 17:25:00","18.7","49","7.8","7.8","1.10"
"Apr 13, 2024 17:26:00","18.7","49","7.8","7.8","1.10"
"Apr 13, 2024 17:27:00","18.5","49","7.8","7.6","1.09"
"Apr 13, 2024 17:28:00","18.4","51","8.0","8.1","1.04"
"Apr 13, 2024 17:29:00","18.4","51","8.0","8.1","1.04"
"Apr 13, 2024 17:30:00","18.3","51","8.0","8.0","1.03"
"Apr 13, 2024 17:31:00","18.2","51","7.9","7.9","1.02"
"Apr 13, 2024 17:32:00","18.0","53","8.1","8.3","0.97"
"Apr 13, 2024 17:33:00","17.8","53","8.0","8.1","0.96"
"Apr 13, 2024 17:34:00","17.8","53","8.0","8.1","0.96"
"Apr 13, 2024 17:35:00","17.7","53","8.0","8.0","0.95"
"Apr 13, 2024 17:36:00","17.5","53","7.9","7.8","0.94"
"Apr 13, 2024 17:37:00","17.3","53","7.8","7.6","0.93"
"Apr 13, 2024 17:38:00","17.3","53","7.8","7.6","0.93"
"Apr 13, 2024 17:39:00","17.2","55","8.1","8.1","0.88"
"Apr 13, 2024 17:40:00","17.1","55","8.0","8.0","0.88"
"Apr 13, 2024 17:41:00","17.0","55","8.0","7.9","0.87"
"Apr 13, 2024 17:42:00","16.9","55","7.9","7.8","0.87"
"Apr 13, 2024 17:43:00","16.8","55","7.9","7.7","0.86"
"Apr 13, 2024 17:44:00","16.8","55","7.9","7.7","0.86"
"Apr 13, 2024 17:45:00","16.7","55","7.8","7.6","0.86"
"Apr 13, 2024 17:46:00","16.6","55","7.8","7.5","0.85"
"Apr 13, 2024 17:47:00","16.6","55","7.8","7.5","0.85"
"Apr 13, 2024 17:48:00","16.5","55","7.7","7.4","0.84"
"Apr 13, 2024 17:49:00","16.5","56","7.9","7.7","0.83"
"Apr 13, 2024 17:50:00","16.5","56","7.9","7.7","0.83"
"Apr 13, 2024 17:51:00","16.4","56","7.8","7.6","0.82"
"Apr 13, 2024 17:52:00","16.4","56","7.8","7.6","0.82"
"Apr 13, 2024 17:53:00","16.6","56","7.9","7.8","0.83"
"Apr 13, 2024 17:54:00","17.0","58","8.4","8.7","0.81"
"Apr 13, 2024 17:55:00","17.0","58","8.4","8.7","0.81"
"Apr 13, 2024 17:56:00","17.0","56","8.1","8.2","0.85"
"Apr 13, 2024 17:57:00","17.0","56","8.1","8.2","0.85"
